symbol,open,high,low,close,volume,year,month,day
CRYPTO:XRPUSD,0.82973,0.85609,0.82949,0.85082,0.0,2022,1,1
CRYPTO:XRPUSD,0.85098,0.8672,0.83758,0.85935,0.0,2022,1,2
CRYPTO:XRPUSD,0.85901,0.85914,0.82167,0.83271,0.0,2022,1,3
CRYPTO:XRPUSD,0.83288,0.84588,0.81547,0.82298,0.0,2022,1,4
CRYPTO:XRPUSD,0.82294,0.83452,0.70942,0.77254,0.0,2022,1,5
CRYPTO:XRPUSD,0.77276,0.79084,0.73904,0.77976,0.0,2022,1,6
CRYPTO:XRPUSD,0.77914,0.77992,0.73033,0.76304,0.0,2022,1,7
CRYPTO:XRPUSD,0.76414,0.77666,0.72305,0.74522,0.0,2022,1,8
CRYPTO:XRPUSD,0.74515,0.76704,0.73891,0.75281,0.0,2022,1,9
CRYPTO:XRPUSD,0.75276,0.75875,0.69777,0.74017,0.0,2022,1,10
CRYPTO:XRPUSD,0.74025,0.77706,0.73114,0.77,0.0,2022,1,11
CRYPTO:XRPUSD,0.77019,0.80758,0.75777,0.79871,0.0,2022,1,12
CRYPTO:XRPUSD,0.79879,0.80265,0.76152,0.76789,0.0,2022,1,13
CRYPTO:XRPUSD,0.76842,0.79092,0.75285,0.77359,0.0,2022,1,14
CRYPTO:XRPUSD,0.77442,0.79016,0.7688,0.77983,0.0,2022,1,15
CRYPTO:XRPUSD,0.78001,0.78484,0.76878,0.77876,0.0,2022,1,16
CRYPTO:XRPUSD,0.77907,0.78059,0.74774,0.76241,0.0,2022,1,17
CRYPTO:XRPUSD,0.76253,0.76955,0.7363,0.75184,0.0,2022,1,18
CRYPTO:XRPUSD,0.75182,0.75356,0.72392,0.73826,0.0,2022,1,19
CRYPTO:XRPUSD,0.7391,0.7625,0.71673,0.71992,0.0,2022,1,20
CRYPTO:XRPUSD,0.71948,0.72861,0.61176,0.63764,0.0,2022,1,21
CRYPTO:XRPUSD,0.6368,0.6536,0.54931,0.59711,0.0,2022,1,22
CRYPTO:XRPUSD,0.5966,0.63547,0.59064,0.6292,0.0,2022,1,23
CRYPTO:XRPUSD,0.62934,0.62936,0.55365,0.61224,0.0,2022,1,24
CRYPTO:XRPUSD,0.6123,0.6249,0.58763,0.61744,0.0,2022,1,25
CRYPTO:XRPUSD,0.61816,0.65799,0.6055,0.61995,0.0,2022,1,26
CRYPTO:XRPUSD,0.62019,0.62457,0.58994,0.609,0.0,2022,1,27
CRYPTO:XRPUSD,0.609,0.61385,0.59216,0.61177,0.0,2022,1,28
CRYPTO:XRPUSD,0.61172,0.62534,0.60953,0.6177,0.0,2022,1,29
CRYPTO:XRPUSD,0.61773,0.62343,0.59775,0.60194,0.0,2022,1,30
CRYPTO:XRPUSD,0.60167,0.62502,0.58083,0.61751,0.0,2022,1,31
CRYPTO:XRPUSD,0.61754,0.63106,0.61163,0.62851,0.0,2022,2,1
CRYPTO:XRPUSD,0.62875,0.63151,0.59575,0.60116,0.0,2022,2,2
CRYPTO:XRPUSD,0.60109,0.6112,0.58911,0.60996,0.0,2022,2,3
CRYPTO:XRPUSD,0.60938,0.65943,0.60462,0.65555,0.0,2022,2,4
CRYPTO:XRPUSD,0.65635,0.68691,0.6509,0.66618,0.0,2022,2,5
CRYPTO:XRPUSD,0.66632,0.68769,0.65963,0.68354,0.0,2022,2,6
CRYPTO:XRPUSD,0.68374,0.83971,0.67224,0.83197,0.0,2022,2,7
CRYPTO:XRPUSD,0.83258,0.91426,0.80445,0.87592,0.0,2022,2,8
CRYPTO:XRPUSD,0.87647,0.91791,0.8453,0.87071,0.0,2022,2,9
CRYPTO:XRPUSD,0.87111,0.89569,0.82307,0.82713,0.0,2022,2,10
CRYPTO:XRPUSD,0.82664,0.83481,0.75314,0.76169,0.0,2022,2,11
CRYPTO:XRPUSD,0.76153,0.8546,0.75008,0.82589,0.0,2022,2,12
CRYPTO:XRPUSD,0.82558,0.8479,0.79319,0.80583,0.0,2022,2,13
CRYPTO:XRPUSD,0.80678,0.8126,0.78003,0.8017,0.0,2022,2,14
CRYPTO:XRPUSD,0.80186,0.86039,0.79685,0.85139,0.0,2022,2,15
CRYPTO:XRPUSD,0.85146,0.85367,0.80908,0.83779,0.0,2022,2,16
CRYPTO:XRPUSD,0.83734,0.8453,0.75472,0.76822,0.0,2022,2,17
CRYPTO:XRPUSD,0.76872,0.80552,0.75646,0.78504,0.0,2022,2,18
CRYPTO:XRPUSD,0.78449,0.85504,0.77057,0.82211,0.0,2022,2,19
CRYPTO:XRPUSD,0.82182,0.82343,0.76576,0.77695,0.0,2022,2,20
CRYPTO:XRPUSD,0.77711,0.80203,0.69628,0.70253,0.0,2022,2,21
CRYPTO:XRPUSD,0.70321,0.72724,0.67048,0.72166,0.0,2022,2,22
CRYPTO:XRPUSD,0.72178,0.74422,0.69319,0.69636,0.0,2022,2,23
CRYPTO:XRPUSD,0.69651,0.72171,0.62243,0.69621,0.0,2022,2,24
CRYPTO:XRPUSD,0.69759,0.7796,0.68329,0.7684,0.0,2022,2,25
CRYPTO:XRPUSD,0.7685,0.795,0.7425,0.7496,0.0,2022,2,26
CRYPTO:XRPUSD,0.7495,0.7661,0.702,0.7204,0.0,2022,2,27
CRYPTO:XRPUSD,0.7202,0.7923,0.7065,0.7799,0.0,2022,2,28
CRYPTO:XRPUSD,0.7799,0.8023,0.7558,0.7828,0.0,2022,3,1
CRYPTO:XRPUSD,0.7826,0.7832,0.7549,0.7677,0.0,2022,3,2
CRYPTO:XRPUSD,0.7675,0.7881,0.7324,0.75,0.0,2022,3,3
CRYPTO:XRPUSD,0.7499,0.7524,0.6973,0.7112,0.0,2022,3,4
CRYPTO:XRPUSD,0.7112,0.7604,0.7036,0.7526,0.0,2022,3,5
CRYPTO:XRPUSD,0.7524,0.7575,0.7197,0.7236,0.0,2022,3,6
CRYPTO:XRPUSD,0.7237,0.7524,0.7018,0.7185,0.0,2022,3,7
CRYPTO:XRPUSD,0.718,0.7287,0.7116,0.7194,0.0,2022,3,8
CRYPTO:XRPUSD,0.7194,0.7738,0.7183,0.7643,0.0,2022,3,9
CRYPTO:XRPUSD,0.7644,0.7775,0.7202,0.7348,0.0,2022,3,10
CRYPTO:XRPUSD,0.7349,0.8128,0.7238,0.806,0.0,2022,3,11
CRYPTO:XRPUSD,0.8057,0.8426,0.779,0.7853,0.0,2022,3,12
CRYPTO:XRPUSD,0.7851,0.802,0.75,0.7587,0.0,2022,3,13
CRYPTO:XRPUSD,0.7585,0.7759,0.7435,0.7729,0.0,2022,3,14
CRYPTO:XRPUSD,0.7728,0.7748,0.7396,0.7644,0.0,2022,3,15
CRYPTO:XRPUSD,0.7646,0.7931,0.756,0.7905,0.0,2022,3,16
CRYPTO:XRPUSD,0.7905,0.7999,0.7765,0.7923,0.0,2022,3,17
CRYPTO:XRPUSD,0.7924,0.7991,0.775,0.7953,0.0,2022,3,18
CRYPTO:XRPUSD,0.7955,0.8256,0.7906,0.8182,0.0,2022,3,19
CRYPTO:XRPUSD,0.8182,0.821,0.7937,0.8043,0.0,2022,3,20
CRYPTO:XRPUSD,0.8042,0.853,0.7863,0.8361,0.0,2022,3,21
CRYPTO:XRPUSD,0.836,0.864,0.826,0.8365,0.0,2022,3,22
CRYPTO:XRPUSD,0.8363,0.8435,0.8208,0.836,0.0,2022,3,23
CRYPTO:XRPUSD,0.8362,0.8486,0.826,0.8415,0.0,2022,3,24
CRYPTO:XRPUSD,0.8414,0.8447,0.818,0.8228,0.0,2022,3,25
CRYPTO:XRPUSD,0.823,0.8335,0.8186,0.8315,0.0,2022,3,26
CRYPTO:XRPUSD,0.8314,0.8564,0.8266,0.8563,0.0,2022,3,27
CRYPTO:XRPUSD,0.8561,0.9109,0.8511,0.8631,0.0,2022,3,28
CRYPTO:XRPUSD,0.863,0.8843,0.841,0.8564,0.0,2022,3,29
CRYPTO:XRPUSD,0.8563,0.8706,0.8445,0.8601,0.0,2022,3,30
CRYPTO:XRPUSD,0.86,0.8724,0.7751,0.8136,0.0,2022,3,31
CRYPTO:XRPUSD,0.8133,0.8323,0.8057,0.8264,0.0,2022,4,1
CRYPTO:XRPUSD,0.8262,0.8483,0.8175,0.8227,0.0,2022,4,2
CRYPTO:XRPUSD,0.8228,0.8503,0.8128,0.8417,0.0,2022,4,3
CRYPTO:XRPUSD,0.8415,0.8421,0.8031,0.8248,0.0,2022,4,4
CRYPTO:XRPUSD,0.8246,0.835,0.8133,0.8152,0.0,2022,4,5
CRYPTO:XRPUSD,0.815,0.8169,0.7541,0.758,0.0,2022,4,6
CRYPTO:XRPUSD,0.758,0.7895,0.7507,0.7859,0.0,2022,4,7
CRYPTO:XRPUSD,0.7856,0.792,0.7446,0.7536,0.0,2022,4,8
CRYPTO:XRPUSD,0.7536,0.7652,0.7517,0.7609,0.0,2022,4,9
CRYPTO:XRPUSD,0.761,0.7716,0.7512,0.7527,0.0,2022,4,10
CRYPTO:XRPUSD,0.7529,0.7542,0.6798,0.6935,0.0,2022,4,11
CRYPTO:XRPUSD,0.694,0.7245,0.6906,0.7134,0.0,2022,4,12
CRYPTO:XRPUSD,0.7135,0.7235,0.7002,0.7215,0.0,2022,4,13
CRYPTO:XRPUSD,0.7212,0.7397,0.7064,0.7244,0.0,2022,4,14
CRYPTO:XRPUSD,0.7244,0.796,0.7243,0.7842,0.0,2022,4,15
CRYPTO:XRPUSD,0.7844,0.7983,0.7645,0.7792,0.0,2022,4,16
CRYPTO:XRPUSD,0.7792,0.7842,0.7467,0.7506,0.0,2022,4,17
CRYPTO:XRPUSD,0.7506,0.7681,0.7256,0.7681,0.0,2022,4,18
CRYPTO:XRPUSD,0.7683,0.7805,0.7575,0.7733,0.0,2022,4,19
CRYPTO:XRPUSD,0.773,0.7736,0.7406,0.7503,0.0,2022,4,20
CRYPTO:XRPUSD,0.7502,0.767,0.717,0.7311,0.0,2022,4,21
CRYPTO:XRPUSD,0.731,0.7371,0.7118,0.7164,0.0,2022,4,22
CRYPTO:XRPUSD,0.7163,0.7253,0.6991,0.7041,0.0,2022,4,23
CRYPTO:XRPUSD,0.7041,0.7103,0.6926,0.6966,0.0,2022,4,24
CRYPTO:XRPUSD,0.6966,0.6985,0.6439,0.6915,0.0,2022,4,25
