symbol,open,high,low,close,volume,year,month,day
CRYPTO:BTCUSD,42284.71,44173.08,42180.69,44165.88,0.0,2024,1,1
CRYPTO:BTCUSD,44166.14,45894.23,44165.35,44964.68,0.0,2024,1,2
CRYPTO:BTCUSD,44965.34,45508.68,40879.06,42855.11,0.0,2024,1,3
CRYPTO:BTCUSD,42855.11,44746.28,42641.18,44171.58,0.0,2024,1,4
CRYPTO:BTCUSD,44170.47,44346.61,42593.39,44188.64,0.0,2024,1,5
CRYPTO:BTCUSD,44188.81,44243.7,43435.76,44008.11,0.0,2024,1,6
CRYPTO:BTCUSD,44007.88,44502.05,43632.42,43947.06,0.0,2024,1,7
CRYPTO:BTCUSD,43947.19,47250.58,43220.49,46979.41,0.0,2024,1,8
CRYPTO:BTCUSD,46979.43,47975.24,45009.96,46147.55,0.0,2024,1,9
CRYPTO:BTCUSD,46147.27,47691.5,44350.85,46658.68,0.0,2024,1,10
CRYPTO:BTCUSD,46659.24,48965.41,45642.42,46354.23,0.0,2024,1,11
CRYPTO:BTCUSD,46354.35,46511.27,41527.04,42784.68,0.0,2024,1,12
CRYPTO:BTCUSD,42785.13,43238.36,42429.17,42834.13,0.0,2024,1,13
CRYPTO:BTCUSD,42834.13,43070.01,41722.11,41732.68,0.0,2024,1,14
CRYPTO:BTCUSD,41733.73,43328.08,41685.58,42491.28,0.0,2024,1,15
CRYPTO:BTCUSD,42490.68,43536.86,42064.7,43110.23,0.0,2024,1,16
CRYPTO:BTCUSD,43109.97,43181.49,42201.66,42761.67,0.0,2024,1,17
CRYPTO:BTCUSD,42761.67,42885.52,40648.61,41282.04,0.0,2024,1,18
CRYPTO:BTCUSD,41282.12,42144.62,40266.02,41619.59,0.0,2024,1,19
CRYPTO:BTCUSD,41619.59,41825.3,41426.45,41659.07,0.0,2024,1,20
CRYPTO:BTCUSD,41659.09,41849.15,41477.09,41551.57,0.0,2024,1,21
CRYPTO:BTCUSD,41551.55,41661.14,39420.95,39541.6,0.0,2024,1,22
CRYPTO:BTCUSD,39541.8,40128.66,38514.16,39853.25,0.0,2024,1,23
CRYPTO:BTCUSD,39853.52,40521.04,39467.47,40052.4,0.0,2024,1,24
CRYPTO:BTCUSD,40052.41,40283.63,39537.63,39945.62,0.0,2024,1,25
CRYPTO:BTCUSD,39946.29,42215.83,39802.64,41796.66,0.0,2024,1,26
CRYPTO:BTCUSD,41797.19,42187.6,41394.6,42111.19,0.0,2024,1,27
CRYPTO:BTCUSD,42111.22,42825.71,41632.72,42031.95,0.0,2024,1,28
CRYPTO:BTCUSD,42031.74,43298.8,41813.82,43296.19,0.0,2024,1,29
CRYPTO:BTCUSD,43296.17,43844.66,42688.66,42942.15,0.0,2024,1,30
CRYPTO:BTCUSD,42942.65,43735.15,42291.21,42580.43,0.0,2024,1,31
CRYPTO:BTCUSD,42580.43,43251.61,41864.91,43052.42,0.0,2024,2,1
CRYPTO:BTCUSD,43052.42,43456.6,42545.51,43185.97,0.0,2024,2,2
CRYPTO:BTCUSD,43186.04,43357.75,42862.87,42991.05,0.0,2024,2,3
CRYPTO:BTCUSD,42991.05,43102.3,42260.85,42570.33,0.0,2024,2,4
CRYPTO:BTCUSD,42570.33,43538.11,42241.35,42688.9,0.0,2024,2,5
CRYPTO:BTCUSD,42688.9,43329.71,42520.13,43043.57,0.0,2024,2,6
