symbol,open,high,low,close,volume,year,month,day
CRYPTO:SOLUSD,9.9599,10.0676,9.6892,9.9916,0.0,2023,1,1
CRYPTO:SOLUSD,9.9866,11.897,9.8132,11.2853,0.0,2023,1,2
CRYPTO:SOLUSD,11.2828,13.8747,11.0079,13.3806,0.0,2023,1,3
CRYPTO:SOLUSD,13.3761,14.2062,12.8265,13.4312,0.0,2023,1,4
CRYPTO:SOLUSD,13.4318,13.868,12.9463,13.4254,0.0,2023,1,5
CRYPTO:SOLUSD,13.4227,13.5864,12.6999,13.5076,0.0,2023,1,6
CRYPTO:SOLUSD,13.5076,13.509,13.0267,13.0996,0.0,2023,1,7
CRYPTO:SOLUSD,13.097,14.8298,12.8582,14.4656,0.0,2023,1,8
CRYPTO:SOLUSD,14.4526,17.4675,14.2947,16.2546,0.0,2023,1,9
CRYPTO:SOLUSD,16.2555,16.7178,15.575,16.2068,0.0,2023,1,10
CRYPTO:SOLUSD,16.2043,16.6,15.301,16.3643,0.0,2023,1,11
CRYPTO:SOLUSD,16.3705,16.9812,15.5741,16.6001,0.0,2023,1,12
CRYPTO:SOLUSD,16.5974,18.5911,16.3354,18.2923,0.0,2023,1,13
CRYPTO:SOLUSD,18.2923,24.7302,18.2176,24.2618,0.0,2023,1,14
CRYPTO:SOLUSD,24.2584,24.9975,21.9817,22.8911,0.0,2023,1,15
CRYPTO:SOLUSD,22.8986,24.9861,22.3075,23.5896,0.0,2023,1,16
CRYPTO:SOLUSD,23.5871,23.9498,22.7585,22.8989,0.0,2023,1,17
CRYPTO:SOLUSD,22.9063,23.6232,20.3204,20.7918,0.0,2023,1,18
CRYPTO:SOLUSD,20.7893,21.869,20.4207,21.4141,0.0,2023,1,19
CRYPTO:SOLUSD,21.4166,25.8018,20.9348,25.5281,0.0,2023,1,20
CRYPTO:SOLUSD,25.5256,26.4964,24.385,24.6052,0.0,2023,1,21
CRYPTO:SOLUSD,24.6052,25.4248,23.5214,24.2206,0.0,2023,1,22
CRYPTO:SOLUSD,24.2231,24.9323,23.7299,24.332,0.0,2023,1,23
CRYPTO:SOLUSD,24.327,25.2155,22.381,22.7783,0.0,2023,1,24
CRYPTO:SOLUSD,22.7783,25.4037,22.2494,24.5066,0.0,2023,1,25
CRYPTO:SOLUSD,24.5029,25.2131,23.8157,24.3628,0.0,2023,1,26
CRYPTO:SOLUSD,24.3607,24.9469,23.323,24.4368,0.0,2023,1,27
CRYPTO:SOLUSD,24.4315,25.188,23.75,24.0172,0.0,2023,1,28
CRYPTO:SOLUSD,24.0171,26.7689,23.735,26.0894,0.0,2023,1,29
CRYPTO:SOLUSD,26.0844,26.305,23.2875,23.9705,0.0,2023,1,30
CRYPTO:SOLUSD,23.9705,24.4587,23.4978,23.9297,0.0,2023,1,31
CRYPTO:SOLUSD,23.9272,25.2041,22.5175,24.9951,0.0,2023,2,1
CRYPTO:SOLUSD,24.9951,26.1379,24.14,24.3145,0.0,2023,2,2
CRYPTO:SOLUSD,24.3089,25.0824,24.0426,24.6841,0.0,2023,2,3
CRYPTO:SOLUSD,24.6837,24.9367,24.2035,24.3451,0.0,2023,2,4
